"scenario","n","mean_iter_p1","mean_iter_p2","mean_time_p1","mean_time_p2"
"nu_1_05",50,91.207,139.319,1.0702031929493,2.36475653076172
"nu_1_05",100,126.277,163.263,2.04755878090858,3.5140865445137
"nu_1_05",200,162.987,191.808,4.24266670870781,6.16653279399872
"nu_1_05",500,222.986,226.885,12.0066765735149,12.4492832362652
"nu_1_1",50,81.119,104.649,0.960950861692428,1.75720717406273
"nu_1_1",100,107.455,115.589,1.77397070479393,2.31560158681869
"nu_1_1",200,132.291,126.773,3.49698713850975,3.47824763202667
"nu_1_1",500,164.665,159.681,8.96772808504105,8.46151981306076
"nu_1_25",50,50.859,52.653,0.639162316083908,0.72118328332901
"nu_1_25",100,60.507,57.873,1.05804732108116,1.02389925599098
"nu_1_25",200,65.776,61.387,1.8559303393364,1.74593278336525
"nu_1_25",500,71.908,69.574,4.17246956396103,4.04713915681839
"nu_1_5",50,30.638,30.903,0.433051149129868,0.438176186323166
"nu_1_5",100,29.814,28.378,0.593664258480072,0.571170341014862
"nu_1_5",200,28.964,26.922,0.912705499649048,0.855427906990051
"nu_1_5",500,27.427,25.923,1.71189543223381,1.6196912484169
