"model","tau","p","n","reps","mean_iter","sd_iter","mean_time","sd_time"
"results.RDQ1","(sin subcarpeta)","p1",50,1000,15.175,32.8434935728535,0.127991247415543,0.136557422345787
"results.RDQ1","(sin subcarpeta)","p1",100,1000,12.017,5.20882355650898,0.139199054718018,0.0362450711748567
"results.RDQ1","(sin subcarpeta)","p1",200,1000,11.274,4.04812441895149,0.169690483808517,0.0387731605690381
"results.RDQ1","(sin subcarpeta)","p1",500,1000,11.675,3.45243309772895,0.27194310426712,0.0608767401905848
"results.RDQ1","(sin subcarpeta)","p2",50,1000,13.444,7.64167908638273,0.149397886276245,0.0676263914255479
"results.RDQ1","(sin subcarpeta)","p2",100,1000,11.455,4.26944998837124,0.140467444419861,0.0340130281435125
"results.RDQ1","(sin subcarpeta)","p2",200,1000,11.01,3.21997954469718,0.175079979896545,0.0348320600660604
"results.RDQ1","(sin subcarpeta)","p2",500,1000,11.98,2.33088674822116,0.294842121362686,0.0472088158379443
"results.RDQ1","0.1","p1",50,1000,43.595,66.2812354831832,0.352971950531006,0.373657558996099
"results.RDQ1","0.1","p1",100,1000,30.002,13.6499933449917,0.330849871635437,0.112667179929095
"results.RDQ1","0.1","p1",200,1000,28.721,7.28671772852875,0.431426775217056,0.091174184619508
"results.RDQ1","0.1","p1",500,1000,29.902,5.40699839389949,0.738168736457825,0.163346472302445
"results.RDQ1","0.1","p2",50,1000,32.413,35.6274296679503,0.333578099012375,0.226331701450886
"results.RDQ1","0.1","p2",100,1000,29.851,8.29974003717494,0.387653819084167,0.0899149501521771
"results.RDQ1","0.1","p2",200,1000,30.523,4.57475675849541,0.529243751764297,0.0719977747682598
"results.RDQ1","0.1","p2",500,1000,31.989,3.01429344373851,0.927416775941849,0.149758060069281
"results.RDQ1","0.25","p1",50,1000,24.334,56.3894335156172,0.234775913000107,0.324918080894291
"results.RDQ1","0.25","p1",100,1000,15.579,8.11058200997564,0.212186960697174,0.0697941005391016
"results.RDQ1","0.25","p1",200,1000,14.046,5.34588275801691,0.26055677485466,0.0749796816469877
"results.RDQ1","0.25","p1",500,1000,13.689,4.2725324496759,0.39065765786171,0.120328343384768
"results.RDQ1","0.25","p2",50,1000,17.644,33.555256208517,0.222871500492096,0.20299254104437
"results.RDQ1","0.25","p2",100,1000,14.065,4.0399376351741,0.22883943939209,0.0480068392799081
"results.RDQ1","0.25","p2",200,1000,14.305,2.60014148379194,0.304173707723618,0.0638798325779783
"results.RDQ1","0.25","p2",500,1000,15.677,1.57071262111761,0.5124405605793,0.0976033305676365
"results.RDQ1","0.5","p1",50,1000,15.175,32.8434935728535,0.172745972633362,0.185352291152715
"results.RDQ1","0.5","p1",100,1000,12.017,5.20882355650898,0.173442851543427,0.0468799049035349
"results.RDQ1","0.5","p1",200,1000,11.274,4.04812441895149,0.218861989021301,0.0634785398768817
"results.RDQ1","0.5","p1",500,1000,11.675,3.45243309772895,0.323306906461716,0.0874828908714149
"results.RDQ1","0.5","p2",50,1000,13.444,7.64167908638273,0.176864280462265,0.0564379202072204
"results.RDQ1","0.5","p2",100,1000,11.455,4.26944998837124,0.18274923658371,0.0454686941132073
"results.RDQ1","0.5","p2",200,1000,11.01,3.21997954469718,0.231816045284271,0.0643330736306148
"results.RDQ1","0.5","p2",500,1000,11.98,2.33088674822116,0.368909919023514,0.0785975470001683
"results.RDQ1","0.75","p1",50,1000,16.332,8.2115287982936,0.179679538726807,0.0555327069003715
"results.RDQ1","0.75","p1",100,1000,14.676,4.71118023633348,0.194752303123474,0.0394639558270487
"results.RDQ1","0.75","p1",200,1000,14.365,3.50914364041843,0.247882729053497,0.05370122670783
"results.RDQ1","0.75","p1",500,1000,15.677,2.65249066100273,0.398002521753311,0.0872324738189328
"results.RDQ1","0.75","p2",50,1000,16.091,6.8782286258185,0.188864148855209,0.0548717400976449
"results.RDQ1","0.75","p2",100,1000,14.188,5.48714541130129,0.199899440526962,0.0523264232964577
"results.RDQ1","0.75","p2",200,1000,12.954,3.77626060331436,0.247532932043076,0.0641947230194082
"results.RDQ1","0.75","p2",500,1000,12.627,3.16130746129902,0.370356997489929,0.0894653670309191
"results.RDQ1","0.9","p1",50,1000,26.35,9.42859472023262,0.244377289295197,0.0621071895932065
"results.RDQ1","0.9","p1",100,1000,25.371,4.98218638563243,0.287474783658981,0.0541456930947643
"results.RDQ1","0.9","p1",200,1000,26.637,3.00370658574589,0.390658686876297,0.0461884313074966
"results.RDQ1","0.9","p1",500,1000,28.509,1.83392537533082,0.65806122469902,0.114659307442451
"results.RDQ1","0.9","p2",50,1000,25.964,10.0857536370083,0.252712070226669,0.0682782153156471
"results.RDQ1","0.9","p2",100,1000,24.727,6.28043907023346,0.287219668626785,0.0569950482582629
"results.RDQ1","0.9","p2",200,1000,24.573,4.49520609959965,0.378424432992935,0.0683702174334979
"results.RDQ1","0.9","p2",500,1000,26.882,3.1368640257295,0.659627298355102,0.119138605199345
"results.RDQ2","0.1","p1",50,1000,9.578,5.11175567159132,0.189747148036957,0.062414820830547
"results.RDQ2","0.1","p1",100,1000,9.425,3.21818764706655,0.228643270730972,0.0605312662653828
"results.RDQ2","0.1","p1",200,1000,9.777,3.12778740550793,0.310690281867981,0.0847007570165374
"results.RDQ2","0.1","p1",500,1000,10.911,2.96477130127585,0.551989918231964,0.1818751719654
"results.RDQ2","0.1","p2",50,1000,8.67,4.54221660995287,0.184190960407257,0.059036554254205
"results.RDQ2","0.1","p2",100,1000,8.095,3.13908088918219,0.20787269949913,0.0498797188387897
"results.RDQ2","0.1","p2",200,1000,7.596,1.98209805829901,0.268876170158386,0.0622072366637026
"results.RDQ2","0.1","p2",500,1000,7.674,1.60446199652665,0.428472644805908,0.0986873670991675
"results.RDQ2","0.25","p1",50,1000,8.683,4.21761772797148,0.174759860992432,0.0515762929207891
"results.RDQ2","0.25","p1",100,1000,8.427,3.4462367225058,0.202808916091919,0.0560903828767618
"results.RDQ2","0.25","p1",200,1000,8.581,3.07422996698196,0.270440412759781,0.0797156156834447
"results.RDQ2","0.25","p1",500,1000,9.242,3.46633112259222,0.447381149768829,0.158991478905847
"results.RDQ2","0.25","p2",50,1000,7.846,4.44500191698969,0.174752691745758,0.0575637762543207
"results.RDQ2","0.25","p2",100,1000,7.431,3.17573996484667,0.197984098911285,0.0505417308671768
"results.RDQ2","0.25","p2",200,1000,7.466,2.07681418455218,0.269407285451889,0.0666771269948177
"results.RDQ2","0.25","p2",500,1000,8.127,1.21092416663362,0.459655507564545,0.0942975576261981
"results.RDQ2","0.5","p1",50,1000,12.552,4.82540988731326,0.215307727813721,0.0596204145597799
"results.RDQ2","0.5","p1",100,1000,12.258,4.34906315777897,0.256040859460831,0.0675322832464223
"results.RDQ2","0.5","p1",200,1000,12.318,3.95050407954257,0.346902747631073,0.0927562410873426
"results.RDQ2","0.5","p1",500,1000,12.936,3.4420563260574,0.590022243022919,0.156891979657916
"results.RDQ2","0.5","p2",50,1000,8.097,4.23739855885029,0.1806197681427,0.0564246366345907
"results.RDQ2","0.5","p2",100,1000,8.049,4.55228759222463,0.21282822227478,0.0674811483987045
"results.RDQ2","0.5","p2",200,1000,7.905,2.70467933224815,0.287727750062942,0.0813143496396909
"results.RDQ2","0.5","p2",500,1000,8.349,1.53412924897238,0.487454383850098,0.10869586537369
"results.RDQ2","0.75","p1",50,1000,22.518,10.0094887914351,0.32592955994606,0.11294583030458
"results.RDQ2","0.75","p1",100,1000,21.453,7.37347673483542,0.39446284365654,0.115150806098491
"results.RDQ2","0.75","p1",200,1000,20.28,4.87825761900675,0.513106061458588,0.107702937648941
"results.RDQ2","0.75","p1",500,1000,19.856,3.1344998148172,0.850833760023117,0.179746940636475
"results.RDQ2","0.75","p2",50,1000,12,7.20374165929719,0.230340273857117,0.0864951790856249
"results.RDQ2","0.75","p2",100,1000,11.437,5.69372017660242,0.273792824268341,0.0945743481603846
"results.RDQ2","0.75","p2",200,1000,11.373,4.48753930445283,0.368365442752838,0.116522211834546
