"model","tau","n","mean_iter_p1","mean_iter_p2","mean_time_p1","mean_time_p2"
"results.RDQ1","(sin subcarpeta)",50,15.175,13.444,0.127991247415543,0.149397886276245
"results.RDQ1","(sin subcarpeta)",100,12.017,11.455,0.139199054718018,0.140467444419861
"results.RDQ1","(sin subcarpeta)",200,11.274,11.01,0.169690483808517,0.175079979896545
"results.RDQ1","(sin subcarpeta)",500,11.675,11.98,0.27194310426712,0.294842121362686
"results.RDQ1","0.1",50,43.595,32.413,0.352971950531006,0.333578099012375
"results.RDQ1","0.1",100,30.002,29.851,0.330849871635437,0.387653819084167
"results.RDQ1","0.1",200,28.721,30.523,0.431426775217056,0.529243751764297
"results.RDQ1","0.1",500,29.902,31.989,0.738168736457825,0.927416775941849
"results.RDQ1","0.25",50,24.334,17.644,0.234775913000107,0.222871500492096
"results.RDQ1","0.25",100,15.579,14.065,0.212186960697174,0.22883943939209
"results.RDQ1","0.25",200,14.046,14.305,0.26055677485466,0.304173707723618
"results.RDQ1","0.25",500,13.689,15.677,0.39065765786171,0.5124405605793
"results.RDQ1","0.5",50,15.175,13.444,0.172745972633362,0.176864280462265
"results.RDQ1","0.5",100,12.017,11.455,0.173442851543427,0.18274923658371
"results.RDQ1","0.5",200,11.274,11.01,0.218861989021301,0.231816045284271
"results.RDQ1","0.5",500,11.675,11.98,0.323306906461716,0.368909919023514
"results.RDQ1","0.75",50,16.332,16.091,0.179679538726807,0.188864148855209
"results.RDQ1","0.75",100,14.676,14.188,0.194752303123474,0.199899440526962
"results.RDQ1","0.75",200,14.365,12.954,0.247882729053497,0.247532932043076
"results.RDQ1","0.75",500,15.677,12.627,0.398002521753311,0.370356997489929
"results.RDQ1","0.9",50,26.35,25.964,0.244377289295197,0.252712070226669
"results.RDQ1","0.9",100,25.371,24.727,0.287474783658981,0.287219668626785
"results.RDQ1","0.9",200,26.637,24.573,0.390658686876297,0.378424432992935
"results.RDQ1","0.9",500,28.509,26.882,0.65806122469902,0.659627298355102
"results.RDQ2","0.1",50,9.578,8.67,0.189747148036957,0.184190960407257
"results.RDQ2","0.1",100,9.425,8.095,0.228643270730972,0.20787269949913
"results.RDQ2","0.1",200,9.777,7.596,0.310690281867981,0.268876170158386
"results.RDQ2","0.1",500,10.911,7.674,0.551989918231964,0.428472644805908
"results.RDQ2","0.25",50,8.683,7.846,0.174759860992432,0.174752691745758
"results.RDQ2","0.25",100,8.427,7.431,0.202808916091919,0.197984098911285
"results.RDQ2","0.25",200,8.581,7.466,0.270440412759781,0.269407285451889
"results.RDQ2","0.25",500,9.242,8.127,0.447381149768829,0.459655507564545
"results.RDQ2","0.5",50,12.552,8.097,0.215307727813721,0.1806197681427
"results.RDQ2","0.5",100,12.258,8.049,0.256040859460831,0.21282822227478
"results.RDQ2","0.5",200,12.318,7.905,0.346902747631073,0.287727750062942
"results.RDQ2","0.5",500,12.936,8.349,0.590022243022919,0.487454383850098
"results.RDQ2","0.75",50,22.518,12,0.32592955994606,0.230340273857117
"results.RDQ2","0.75",100,21.453,11.437,0.39446284365654,0.273792824268341
"results.RDQ2","0.75",200,20.28,11.373,0.513106061458588,0.368365442752838
"results.RDQ2","0.75",500,19.856,11.997,0.850833760023117,0.634490641832352
"results.RDQ2","0.9",50,41.802,23.759,0.533306003570557,0.364405671834946
"results.RDQ2","0.9",100,39.91,21.401,0.649927522420883,0.425981398105621
"results.RDQ2","0.9",200,39.814,20.696,0.913168989419937,0.57175222492218
"results.RDQ2","0.9",500,42.243,22.654,1.65960134530067,1.06155080842972
